tweet-ar-22-test-0	0	vclaim-30396	1
tweet-ar-22-test-1	0	vclaim-30397	1
tweet-ar-22-test-2	0	vclaim-30398	1
tweet-ar-22-test-3	0	vclaim-30399	1
tweet-ar-22-test-4	0	vclaim-30400	1
tweet-ar-22-test-5	0	vclaim-30401	1
tweet-ar-22-test-6	0	vclaim-30402	1
tweet-ar-22-test-7	0	vclaim-30403	1
tweet-ar-22-test-8	0	vclaim-30404	1
tweet-ar-22-test-9	0	vclaim-30405	1
tweet-ar-22-test-10	0	vclaim-30406	1
tweet-ar-22-test-11	0	vclaim-30407	1
tweet-ar-22-test-12	0	vclaim-30408	1
tweet-ar-22-test-13	0	vclaim-30409	1
tweet-ar-22-test-14	0	vclaim-30410	1
tweet-ar-22-test-15	0	vclaim-30411	1
tweet-ar-22-test-16	0	vclaim-30412	1
tweet-ar-22-test-17	0	vclaim-30413	1
tweet-ar-22-test-18	0	vclaim-30414	1
tweet-ar-22-test-19	0	vclaim-30415	1
tweet-ar-22-test-20	0	vclaim-30416	1
tweet-ar-22-test-21	0	vclaim-30417	1
tweet-ar-22-test-22	0	vclaim-30418	1
tweet-ar-22-test-23	0	vclaim-30419	1
tweet-ar-22-test-24	0	vclaim-30420	1
tweet-ar-22-test-25	0	vclaim-30421	1
tweet-ar-22-test-26	0	vclaim-30422	1
tweet-ar-22-test-27	0	vclaim-30423	1
tweet-ar-22-test-28	0	vclaim-30424	1
tweet-ar-22-test-29	0	vclaim-30425	1
tweet-ar-22-test-30	0	vclaim-30426	1
tweet-ar-22-test-31	0	vclaim-30427	1
tweet-ar-22-test-32	0	vclaim-30428	1
tweet-ar-22-test-33	0	vclaim-30429	1
tweet-ar-22-test-34	0	vclaim-30430	1
tweet-ar-22-test-35	0	vclaim-30431	1
tweet-ar-22-test-36	0	vclaim-30432	1
tweet-ar-22-test-37	0	vclaim-30433	1
tweet-ar-22-test-38	0	vclaim-30434	1
tweet-ar-22-test-39	0	vclaim-30435	1
tweet-ar-22-test-40	0	vclaim-30436	1
tweet-ar-22-test-41	0	vclaim-30437	1
tweet-ar-22-test-42	0	vclaim-30438	1
tweet-ar-22-test-43	0	vclaim-30439	1
tweet-ar-22-test-44	0	vclaim-30440	1
tweet-ar-22-test-45	0	vclaim-30441	1
tweet-ar-22-test-46	0	vclaim-30442	1
tweet-ar-22-test-47	0	vclaim-30443	1
tweet-ar-22-test-48	0	vclaim-30444	1
tweet-ar-22-test-49	0	vclaim-30445	1
