Dataset	Number of Queries	Number of Targets	Average Query Length	Average Target Length	Score	all-mpnet-base-v2	sentence-transformers/sentence-t5-base	princeton-nlp/unsup-simcse-roberta-base	synonym_similarity	similar_words_ratio	sequence_matching	levenshtein	jaccard_similarity
nf	323	3632	22	1497	0.326	0.322	0.266	0.135	0.14	0.181	0.02	0.016	0.156
2scifact	300	5182	90	1401	0.643	0.636	0.401	0.334	0.102	0.328	0.051	0.003	0.166
arguana	1406	8673	1193	1007	0.387	0.369	0.316	0.279	0.115	0.306	0.012	0.093	0.231
clef_2020_checkthat_2_english	200	10375	162	149	0.966	0.936	0.949	0.769	0.356	0.62	0.344	0.481	0.419
clef_2021_checkthat_2a_english	202	13825	232	158	0.954	0.905	0.862	0.792	0.273	0.626	0.206	0.377	0.482
clef_2022_checkthat_2a_english	209	14231	242	158	0.935	0.912	0.863	0.75	0.302	0.754	0.165	0.315	0.479
cqa_dupstack_mathematica	804	16704	49	1104	0.305	0.317	0.215	0.093	0.025	0.067	0.009	0.003	0.035
cqa_dupstack_webmasters	506	17404	52	653	0.389	0.406	0.33	0.184	0.051	0.146	0.02	0.014	0.081
clef_2021_checkthat_2b_english	79	19250	104	184	0.441	0.34	0.342	0.348	0.155	0.331	0.167	0.184	0.226
clef_2022_checkthat_2b_english	65	19250	113	184	0.489	0.378	0.36	0.394	0.18	0.357	0.204	0.224	0.246
cqa_dupstack_android	699	22997	52	541	0.482	0.503	0.428	0.231	0.084	0.186	0.038	0.028	0.113
scidocs	1000	25656	72	1132	0.196	0.223	0.124	0.062	0.014	0.029	0.001	0.001	0.009
cqa_dupstack_wordpress	541	30132	49	1069	0.321	0.341	0.247	0.11	0.038	0.097	0.008	0.005	0.064
cqa_dupstack_programmers	876	32175	55	999	0.403	0.412	0.362	0.169	0.021	0.092	0.007	0.004	0.045
cqa_dupstack_gis	885	37636	52	958	0.368	0.405	0.272	0.123	0.03	0.092	0.008	0.006	0.05
cqa_dupstack_physics	1039	38315	53	764	0.418	0.46	0.344	0.184	0.051	0.129	0.015	0.014	0.067
cqa_dupstack_english	1570	40220	48	433	0.428	0.48	0.334	0.198	0.035	0.067	0.013	0.01	0.048
cqa_dupstack_stats	652	42268	56	998	0.327	0.337	0.249	0.103	0.04	0.086	0.016	0.009	0.053
cqa_dupstack_gaming	1595	45300	49	439	0.528	0.544	0.478	0.291	0.039	0.186	0.015	0.011	0.072
cqa_dupstack_unix	1072	47381	50	955	0.392	0.424	0.314	0.127	0.045	0.111	0.015	0.011	0.075
fiqa	648	57637	63	767	0.426	0.496	0.348	0.112	0.013	0.043	0.005	0.005	0.019
cqa_dupstack_tex	2906	68183	47	1249	0.295	0.305	0.201	0.078	0.023	0.081	0.005	0.003	0.052
trec_covid	50	171331	69	1023	0.593	0.604	0.501	0.32	0.016	0.091	0.024	0.026	0.022
